OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y
-1,13,391,0.027911018646308,6,-159.488200000000006,21.896699999999999,-159.462205699999998,21.906864710000001
-1,13,388,0.029726622100311,7,-159.488200000000006,21.896699999999999,-159.517206700000003,21.890197430000001
-1,13,399,0.031790721916935,8,-159.488200000000006,21.896699999999999,-159.518100000000004,21.907499999999999
-1,13,392,0.040563160626375,9,-159.488200000000006,21.896699999999999,-159.451799999999992,21.878799999999998
-1,13,398,0.043971307921864,10,-159.488200000000006,21.896699999999999,-159.526499999999999,21.918300599999998
-1,14,397,0.006149138418705,1,-159.528300000000002,21.927800000000001,-159.533871699999992,21.925198450000000
-1,14,398,0.009668433190547,2,-159.528300000000002,21.927800000000001,-159.526499999999999,21.918300599999998
-1,14,399,0.022718494668442,3,-159.528300000000002,21.927800000000001,-159.518100000000004,21.907499999999999
-1,14,547,0.028758721285909,4,-159.528300000000002,21.927800000000001,-159.510394999999988,21.905294999999999
-1,14,455,0.038674280859507,5,-159.528300000000002,21.927800000000001,-159.502600000000001,21.898900000000001
-1,14,388,0.039204777457536,6,-159.528300000000002,21.927800000000001,-159.517206700000003,21.890197430000001
-1,14,389,0.041184056734176,7,-159.528300000000002,21.927800000000001,-159.493872199999998,21.905197940000001
-1,14,387,0.042746134217814,8,-159.528300000000002,21.927800000000001,-159.557207900000009,21.896310870000001
-1,14,390,0.053694938541733,9,-159.528300000000002,21.927800000000001,-159.489632999999998,21.890543999999998
-1,14,386,0.054597545751151,10,-159.528300000000002,21.927800000000001,-159.577208799999994,21.903534359999998
-1,15,530,0.014592354881926,1,-159.431000000000012,22.186599999999999,-159.421230000000008,22.197438999999999
-1,15,482,0.027550680572359,2,-159.431000000000012,22.186599999999999,-159.443000000000012,22.211400000000001
-1,15,446,0.032422985673762,3,-159.431000000000012,22.186599999999999,-159.404799999999994,22.205700000000000
-1,15,445,0.032756678708318,4,-159.431000000000012,22.186599999999999,-159.406200000000013,22.207999999999998
-1,15,444,0.034763937284418,5,-159.431000000000012,22.186599999999999,-159.407201500000014,22.211940930000001
-1,15,443,0.036077803440591,6,-159.431000000000012,22.186599999999999,-159.466388899999998,22.179583330000000
-1,15,441,0.049039301959131,7,-159.431000000000012,22.186599999999999,-159.472200799999996,22.213196000000000
-1,15,485,0.053007856445988,8,-159.431000000000012,22.186599999999999,-159.474313999999993,22.217157000000000
-1,15,447,0.053494978471529,9,-159.431000000000012,22.186599999999999,-159.377757599999995,22.181407740000001
-1,15,442,0.065141190041628,10,-159.431000000000012,22.186599999999999,-159.495100000000008,22.198200199999999
-1,16,401,0.007126043783195,1,-159.468600000000009,21.941400000000002,-159.466939999999994,21.948329999999999
-1,16,391,0.035122262567698,2,-159.468600000000009,21.941400000000002,-159.462205699999998,21.906864710000001
-1,16,400,0.035265875580933,3,-159.468600000000009,21.941400000000002,-159.476799999999997,21.907100700000001
-1,16,389,0.044150574640463,4,-159.468600000000009,21.941400000000002,-159.493872199999998,21.905197940000001
-1,16,402,0.044742851432891,5,-159.468600000000009,21.941400000000002,-159.430537399999992,21.964919380000001
-1,16,455,0.054426556018174,6,-159.468600000000009,21.941400000000002,-159.502600000000001,21.898900000000001
-1,16,390,0.055033806201278,7,-159.468600000000009,21.941400000000002,-159.489632999999998,21.890543999999998
-1,16,547,0.055230363478783,8,-159.468600000000009,21.941400000000002,-159.510394999999988,21.905294999999999
-1,16,399,0.059995499831235,9,-159.468600000000009,21.941400000000002,-159.518100000000004,21.907499999999999
-1,16,393,0.061498634679050,10,-159.468600000000009,21.941400000000002,-159.422206999999986,21.901029569999999
-1,17,407,0.015179591562359,1,-159.364699999999999,22.006200000000000,-159.358599999999996,21.992300000000000
-1,17,414,0.028377052701783,2,-159.364699999999999,22.006200000000000,-159.386799999999994,22.024000200000000
-1,17,418,0.028470686679462,3,-159.364699999999999,22.006200000000000,-159.387000000000000,22.023900000000001
-1,17,406,0.032886623420478,4,-159.364699999999999,22.006200000000000,-159.337999999999994,21.986999999999998
-1,17,405,0.033355718134836,5,-159.364699999999999,22.006200000000000,-159.342206299999987,21.981569990000001
-1,17,404,0.034592484871257,6,-159.364699999999999,22.006200000000000,-159.368872600000003,21.971860090000000
-1,17,420,0.039002663568153,7,-159.364699999999999,22.006200000000000,-159.340537899999987,22.036816999999999
-1,17,403,0.052542025130858,8,-159.364699999999999,22.006200000000000,-159.397205200000002,21.964919540000000
-1,17,419,0.053100847450865,9,-159.364699999999999,22.006200000000000,-159.365000000000009,22.059300000000000
-1,17,416,0.062026033553520,10,-159.364699999999999,22.006200000000000,-159.400535800000000,22.056826319999999
-1,18,397,0.032228699373264,1,-159.525800000000004,21.956399999999999,-159.533871699999992,21.925198450000000
-1,18,398,0.038105830004869,2,-159.525800000000004,21.956399999999999,-159.526499999999999,21.918300599999998
-1,18,399,0.049502525188115,3,-159.525800000000004,21.956399999999999,-159.518100000000004,21.907499999999999
-1,18,547,0.053376352910258,4,-159.525800000000004,21.956399999999999,-159.510394999999988,21.905294999999999
-1,18,401,0.059410642985926,5,-159.525800000000004,21.956399999999999,-159.466939999999994,21.948329999999999
-1,18,389,0.060340992377353,6,-159.525800000000004,21.956399999999999,-159.493872199999998,21.905197940000001
-1,18,455,0.062003951486981,7,-159.525800000000004,21.956399999999999,-159.502600000000001,21.898900000000001
-1,18,396,0.063973667240904,8,-159.525800000000004,21.956399999999999,-159.586600000000004,21.936500500000001
-1,18,388,0.066757958922473,9,-159.525800000000004,21.956399999999999,-159.517206700000003,21.890197430000001
-1,18,387,0.067802357824540,10,-159.525800000000004,21.956399999999999,-159.557207900000009,21.896310870000001
-1,19,402,0.002362753128105,1,-159.432799999999986,21.965599999999998,-159.430537399999992,21.964919380000001
-1,19,403,0.035601303527406,2,-159.432799999999986,21.965599999999998,-159.397205200000002,21.964919540000000
-1,19,401,0.038259541293650,3,-159.432799999999986,21.965599999999998,-159.466939999999994,21.948329999999999
-1,19,404,0.064233178323713,4,-159.432799999999986,21.965599999999998,-159.368872600000003,21.971860090000000
-1,19,393,0.065433569972797,5,-159.432799999999986,21.965599999999998,-159.422206999999986,21.901029569999999
-1,19,503,0.065602591412242,6,-159.432799999999986,21.965599999999998,-159.465100000000007,22.022700000000000
-1,19,391,0.065685078091409,7,-159.432799999999986,21.965599999999998,-159.462205699999998,21.906864710000001
-1,19,400,0.073199508881486,8,-159.432799999999986,21.965599999999998,-159.476799999999997,21.907100700000001
-1,19,418,0.074138586444570,9,-159.432799999999986,21.965599999999998,-159.387000000000000,22.023900000000001
-1,19,414,0.074340993805837,10,-159.432799999999986,21.965599999999998,-159.386799999999994,22.024000200000000
-1,20,401,0.025014126009118,1,-159.461299999999994,21.972700000000000,-159.466939999999994,21.948329999999999
-1,20,402,0.031731303256320,2,-159.461299999999994,21.972700000000000,-159.430537399999992,21.964919380000001
-1,20,503,0.050144192086424,3,-159.461299999999994,21.972700000000000,-159.465100000000007,22.022700000000000
-1,20,403,0.064565307595106,4,-159.461299999999994,21.972700000000000,-159.397205200000002,21.964919540000000
-1,20,391,0.065841519589648,5,-159.461299999999994,21.972700000000000,-159.462205699999998,21.906864710000001
-1,20,400,0.067405624101331,6,-159.461299999999994,21.972700000000000,-159.476799999999997,21.907100700000001
-1,20,389,0.074949825330575,7,-159.461299999999994,21.972700000000000,-159.493872199999998,21.905197940000001
-1,20,393,0.081638919550578,8,-159.461299999999994,21.972700000000000,-159.422206999999986,21.901029569999999
-1,20,547,0.083389166262768,9,-159.461299999999994,21.972700000000000,-159.510394999999988,21.905294999999999
-1,20,455,0.084570266642599,10,-159.461299999999994,21.972700000000000,-159.502600000000001,21.898900000000001
-1,21,299,0.004768452989544,1,-157.804900000000004,21.390499999999999,-157.809474999999992,21.391844440000000
-1,21,501,0.005830540338591,2,-157.804900000000004,21.390499999999999,-157.809899999999999,21.387500800000002
-1,21,301,0.005852349955353,3,-157.804900000000004,21.390499999999999,-157.809799999999996,21.387300000000000
-1,21,538,0.009563472172804,4,-157.804900000000004,21.390499999999999,-157.806000000000012,21.399999999999999
-1,21,302,0.012804009384658,5,-157.804900000000004,21.390499999999999,-157.792808299999990,21.386288889999999
-1,21,300,0.013776792079435,6,-157.804900000000004,21.390499999999999,-157.801700000000011,21.403900000000000
-1,21,296,0.017789041570579,7,-157.804900000000004,21.390499999999999,-157.816599999999994,21.377099999999999
-1,21,298,0.018873144081009,8,-157.804900000000004,21.390499999999999,-157.810587800000008,21.408495680000001
-1,21,537,0.020616983290479,9,-157.804900000000004,21.390499999999999,-157.794000000000011,21.408000000000001
-1,21,295,0.023160201375358,10,-157.804900000000004,21.390499999999999,-157.822255500000011,21.375164370000000
-1,22,304,0.001076528477336,1,-157.806999999999988,21.353600000000000,-157.807534000000004,21.352665250000001
-1,22,549,0.008502823060602,2,-157.806999999999988,21.353600000000000,-157.805560000000014,21.345220000000001
-1,22,303,0.011896017841707,3,-157.806999999999988,21.353600000000000,-157.818399999999997,21.350200699999998
-1,22,305,0.018779899421940,4,-157.806999999999988,21.353600000000000,-157.810589899999997,21.335166409999999
-1,22,527,0.021085777196961,5,-157.806999999999988,21.353600000000000,-157.802500000000009,21.332999999999998
-1,22,306,0.021107149500579,6,-157.806999999999988,21.353600000000000,-157.802400000000006,21.333000200000001
-1,22,563,0.023665185399680,7,-157.806999999999988,21.353600000000000,-157.830630000000014,21.354890000000001
-1,22,296,0.025385231927246,8,-157.806999999999988,21.353600000000000,-157.816599999999994,21.377099999999999
-1,22,484,0.026001730711629,9,-157.806999999999988,21.353600000000000,-157.800999999999988,21.328299999999999
-1,22,295,0.026415002058444,10,-157.806999999999988,21.353600000000000,-157.822255500000011,21.375164370000000
-1,23,433,0.032782867479225,1,-159.371299999999991,22.131599999999999,-159.385600000000011,22.102100400000001
-1,23,434,0.038265519727296,2,-159.371299999999991,22.131599999999999,-159.375799999999998,22.093599999999999
-1,23,437,0.049244085939331,3,-159.371299999999991,22.131599999999999,-159.378600000000006,22.082899999999999
-1,23,447,0.050224611115148,4,-159.371299999999991,22.131599999999999,-159.377757599999995,22.181407740000001
-1,23,436,0.051353870350732,5,-159.371299999999991,22.131599999999999,-159.366199999999992,22.080500000000001
-1,23,435,0.051583427571261,6,-159.371299999999991,22.131599999999999,-159.365900000000011,22.080300000000001
-1,23,438,0.059582938162594,7,-159.371299999999991,22.131599999999999,-159.312000000000012,22.137399700000000
