above,station,index
Above On Index,Huinawai,53.6570861486178,28.0
Above On Index,Huinawai,42.0640615724006,28.0
Above On Index,Huinawai,56.529931648437504,28.0
Above On Index,Huinawai,28.31700000000005,28.0
Above On Index,Huinawai,63.459826140021,28.0
Above Off Index,Huinawai,27.37727793159485,27.0
Above On Index,Huinawai,55.85,28.0
Above On Index,Huinawai,122.388302937255,28.0
Above Off Index,Huinawai,27.4319999999999,27.0
Above On Index,Huinawai,38.1,28.0
Above On Index,Huinawai,29.57399999999995,28.0
Above On Index,Huinawai,33.27300000000005,28.0
Above On Index,Huinawai,85.99399999999994,28.0
Above On Index,Huinawai,50.03599999999995,28.0
Above On Index,Huinawai,37.8459999999998,28.0
Above On Index,Huinawai,63.5,28.0
Above On Index,Huinawai,65.9380000000001,28.0
Above On Index,Huinawai,44.7040000000001,28.0
Above On Index,Huinawai,31.14000000000005,28.0
Above On Index,Huinawai,30.4444989712352,28.0
Above On Index,Huinawai,37.338,28.0
Above On Index,Huinawai,72.898,28.0
Above On Index,Huinawai,45.57167205906825,28.0
Above On Index,Huinawai,43.380223150258416,28.0
Above On Index,Huinawai,41.4671151561006,28.0
Above On Index,Huinawai,39.915799216910884,28.0
Above On Index,Huinawai,34.334807653874414,28.0
Above On Index,Huinawai,38.98485627949698,28.0
Above On Index,Huinawai,58.376793039988456,28.0
Above On Index,Huinawai,59.538554754891535,28.0
Above On Index,Huinawai,40.88230040847888,28.0
Above On Index,Huinawai,28.6492691632016,28.0
Above On Index,Huinawai,116.44465657877592,28.0
Above On Index,Huinawai,76.79799565958595,28.0
Above On Index,Huinawai,35.0733457237999,28.0
Above On Index,Huinawai,28.557244722484977,28.0
Above On Index,Huinawai,45.4654278582531,28.0
Above On Index,Aepoeha,59.0528255323791,34.0
Above On Index,Aepoeha,45.02267369789497,34.0
Above On Index,Aepoeha,34.539082189752975,34.0
Above On Index,Aepoeha,53.35873921257477,34.0
Above On Index,Aepoeha,36.25796834065102,34.0
Above On Index,Aepoeha,50.50845956398156,34.0
Above On Index,Aepoeha,140.716,34.0
Above On Index,Aepoeha,53.6570861486178,34.0
Above On Index,Aepoeha,42.0640615724006,34.0
Above On Index,Aepoeha,56.529931648437504,34.0
Above On Index,Aepoeha,63.459826140021,34.0
Above On Index,Aepoeha,55.85,34.0
Above On Index,Aepoeha,122.388302937255,34.0
Above On Index,Aepoeha,38.1,34.0
Above Off Index,Aepoeha,33.27300000000005,33.0
Above On Index,Aepoeha,85.99399999999994,34.0
Above On Index,Aepoeha,50.03599999999995,34.0
Above On Index,Aepoeha,37.8459999999998,34.0
Above On Index,Aepoeha,63.5,34.0
Above On Index,Aepoeha,65.9380000000001,34.0
Above On Index,Aepoeha,44.7040000000001,34.0
Above On Index,Aepoeha,37.338,34.0
Above On Index,Aepoeha,72.898,34.0
Above On Index,Aepoeha,45.57167205906825,34.0
Above On Index,Aepoeha,43.380223150258416,34.0
Above On Index,Aepoeha,41.4671151561006,34.0
Above On Index,Aepoeha,39.915799216910884,34.0
Above On Index,Aepoeha,34.334807653874414,34.0
Above On Index,Aepoeha,38.98485627949698,34.0
Above On Index,Aepoeha,58.376793039988456,34.0
Above On Index,Aepoeha,59.538554754891535,34.0
Above On Index,Aepoeha,40.88230040847888,34.0
Above On Index,Aepoeha,116.44465657877592,34.0
Above On Index,Aepoeha,76.79799565958595,34.0
Above On Index,Aepoeha,35.0733457237999,34.0
Above On Index,Aepoeha,45.4654278582531,34.0
